accept,tanggap,tumanggap,tumatanggap,tatanggap
acquire,kuha,kumuha,kumukuha,kukuha
answer (respond),sagot,sumagot,sumasagot,sasagot
approach,lapit,lumapit,lumalapit,lalapit
arrive,dating,dumating,dumarating,darating
ask for (something),hingí',humingí',humihingí,hihingí'
attend,dalo,dumalo,dumadalo,dadalo
avoid,layó',lumayó',lumalayó',lalayó'
bad (to become),samá',sumamá',sumasamá',sasamá'
bark,tahol,tumahol,tumatahol,tatahol
big (to become),laki,lumaki,lumalaki,lalaki
borrow,hiram,humiram,humihiram,hihiram
borrow (money),utang,umutang,umuutang,uutang
buy,bili,bumili,bumibili,bibili
call,tawag,tumawag,tumatawag,tatawag
choose,pili',pumili',pumipili',pipili'
climb,akyat,umakyat,umaakyat,aakyat
come,punta,pumunta,pumupunta,pupunta
come back,balik,bumalik,bunabalik,babalik
count,bilang,bumilang,bumibilang,bibilang
create,gawá',gumawá',gumagawá',gagawá'
cross,tawid,tumawid,tumatawid,tatawid
cry,iyak,umiyak,umiiyak,iiyak
depart,alís,umalís,umaalís,aalís
do,gáwa',gumáwa',gumagáwa',gagáwa'
drink,inom,uminom,umiinom,iinom
eat,kain,kumain,kumakain,kakain
enter (a place),pasok,pumasok,pumapasok,papasok
exit,lábas,lumábas,lumalábas,lalábas
find,hanap,humanap,humahanap,hahanap
follow after (next),sú nod,sumú nod,sumusú nod,susú nod
get,kuhá',kumuhá',kumukuhá',kukuhá'
go (to a place),puntá,pumuntá,pumupuntá,pupuntáhan
go away,layas,lumayas,lumalayas,lalayas
go down,babá',bumabá',bumababá',bababá
go on,tuloy,tumuloy,tumutuloy,tutuloy
go out,labas,lumabas,lumalabas,lalabas
go up,akyat,umakyat,umaakyat,aakyat
help,tulong,tumulong,tumutulong,tutulong
hold,hawak,humawak,humahawak,hahawak
hurt (intransitive),sákit,sumákit,sumasákit,sasákit
involve,sali,sumali,sumasali,sasali
join (game),sali,sumali,sumasali,sasali
join (someone),sama,sumama,sumasama,sasama
jump,talon,tumalon,tumatalon,tatalon
laugh,tawa,tumawa,tumatawa,tatawa
lie down,higa',humiga',humihiga',hihiga'
look,tingin,tumingin,tumitingin,titingin
make,gáwa',gumáwa',gumagáwa',gagáwa'
move (transfer),lipat,lumipat,lumilipat,lilipat
no (to say no),hindí',humindí',humihindí',hihindí'
obey,sú nod,sumú nod,sumú sunod,susú nod
pick (choose),pili',pumili',pumipili',pipili'
reach (something),abot,umabot,umaabot,aabot
reach (destination),dating rating,dumating narating,dumarating nararating,darating mararating
receive,tanggap,tumanggap,tumatanggap,tatanggap
rise (stand up),táyo',tumáyo',tumatáyo',tatáyo'
rise up (from lying),bangon,bumangon,bumabangon,babangon
run,takbo,tumakbo,tumatakbo,tatakbo
shout,sigaw,sumigaw,sumisigaw,sisigaw
sing,kanta,kumanta,kumakanta,kakanta
stand,táyo',tumáyo',tumatáyo',tatáyo'
stop,hinto',huminto',humihinto',hihinto'
take,kuha',kumuha',kumukuha',kukuha'
use,gamit,gumamit,gumagamit,gagamit
visit,bisita,bumisita,bumibista,bibisita
walk,lakad,lumakad,lumalakad,lalakad
watch (movie),nood,nanood,nanonood,manonood
withdraw (money),kuha (withdraw),kumuha (nag-withdraw),kumukuha (nagwi-withdraw),kukuha (magwi-withdraw)
withdraw (from activity),alis,umalis,umaalis, aalis
write (someone),sulat,sumulat,sumusulat,susulat
yes (to say yes to),oo,umoo,umooo,ooo
